party,state,name,letra,type,fem,n,year
EmblemaCSP,Cuarta,Lucía Riojas Martínez,a,pr,1,1,2018
EmblemaCSP,Puebla,Maiella Gómez Maldonado (aún no redactado),a,smd,1,2,2018
EmblemaCSP,Primera,Tonatiuh Bravo Padilla,h,pr,,3,2018
EmblemaCSP,Puebla,Saúl Huerta Corona,l,smd,,4,2018
EmblemaCSP,Jalisco,Juan Carlos Villarreal Salazar (aún no redactado),n,smd,,5,2018
EmblemaCSP,Tercera,Carlos Alberto Morales Vázquez (aún no redactado),s,pr,,6,2018
,,,,,,,2018
MC,Jalisco,Adriana Medina Ortiz,a,smd,1,1,2018
MC,Jalisco,Ana Priscila González García (aún no redactado),a,smd,1,2,2018
MC,Jalisco,Fabiola Loya Hernández,a,smd,1,3,2018
MC,Jalisco,Geraldina Isabel Herrera Vega (aún no redactado),a,smd,1,4,2018
MC,Jalisco,Irma Sánchez Manzo,a,smd,1,5,2018
MC,Primera,María Libier González Anaya,a,pr,1,6,2018
MC,Primera,Martha Angélica Zamudio Macías (aún no redactado),a,pr,1,7,2018
MC,Cuarta,Martha Tagle Martínez (aún no redactado),a,pr,1,8,2018
MC,Tercera,Dulce María Mendez de la Luz Dauzon (aún no redactado),e,pr,1,9,2018
MC,Jalisco,Irene García Martínez (aún no redactado),e,smd,,10,2018
MC,Primera,Jorge Alcibíades García Lara,e,pr,,11,2018
MC,Primera,Jorge Eugenio Russo Salido (aún no redactado),e,pr,,12,2018
MC,Quinta,Ruth Salinas Reyes (aún no redactado),h,pr,1,13,2018
MC,Guanajuato,Ariel Rodríguez Vázquez,l,smd,,14,2018
MC,Chihuahua,Miguel Riggs Baeza,l,smd,,15,2018
MC,Cuarta,Carmen Julieta Macías Rábago (aún no redactado),n,pr,1,16,2018
MC,Jalisco,Juan Martín Espinoza Cárdenas (aún no redactado),n,smd,,17,2018
MC,Jalisco,Eduardo Ron Ramos (aún no redactado),o,smd,,18,2018
MC,Jalisco,Higinio Del Toro Pérez,o,smd,,19,2018
MC,Jalisco,Humberto Ramón Jarero Cornejo (aún no redactado),o,smd,,20,2018
MC,Quinta,Jacobo Cheja Alfaro (aún no redactado),o,pr,,21,2018
MC,Jalisco,Mario Alberto Rodríguez Carrillo (aún no redactado),o,smd,,22,2018
MC,Segunda,Pilar Lozano Mac Donald,r,pr,1,23,2018
MC,Jalisco,Lourdes Celenia Contreras González (aún no redactado),s,smd,1,24,2018
,,,,,,,2018
Morena,Cuarta,Adela Piña Bernal,a,pr,1,1,2018
Morena,Ciudad de México,Aleida Alavez Ruiz,a,smd,1,2,2018
Morena,Morelos,Alejandra Pani Barragán (aún no redactado),a,smd,1,3,2018
Morena,Ciudad de México,Ana Karina Rojo Pimentel (aún no redactado),a,smd,1,4,2018
Morena,Michoacán,Ana Lilia Guillén Quiroz,a,smd,1,5,2018
Morena,Ciudad de México,Ana María Rodríguez Ruiz (aún no redactado),a,smd,1,6,2018
Morena,Tercera,Ana Patricia Peralta de la Peña,a,pr,1,7,2018
Morena,Baja California Sur,Ana Ruth García Grande (aún no redactado),a,smd,1,8,2018
Morena,Michoacán,Anita Sánchez Castro (aún no redactado),a,smd,1,9,2018
Morena,Primera,Carmina Yadira Regalado Mardueño (aún no redactado),a,pr,1,10,2018
Morena,México,Claudia Angélica Domínguez Vázquez (aún no redactado),a,smd,1,11,2018
Morena,Ciudad de México,Claudia López Rayón (aún no redactado),a,smd,1,12,2018
Morena,Veracruz,Claudia Tello Espinosa (aún no redactado),a,smd,1,13,2018
Morena,Colima,Claudia Yáñez Centeno,a,smd,1,14,2018
Morena,México,Dionicia Vázquez García (aún no redactado),a,smd,1,15,2018
Morena,Tercera,Emeteria Claudia Martínez Aguilar (aún no redactado),a,pr,1,16,2018
Morena,Primera,Erika Mariana Rosas Uribe (aún no redactado),a,pr,1,17,2018
Morena,México,Esmeralda de los Ángeles Moreno Medina (aún no redactado),a,smd,1,18,2018
Morena,Veracruz,Flora Tania Cruz Santos (aún no redactado),a,smd,1,19,2018
Morena,Cuarta,Gabriela Cuevas,a,pr,1,20,2018
Morena,Tercera,Graciela Zavaleta Sánchez (aún no redactado),a,pr,1,21,2018
Morena,Durango,Hilda Patricia Ortega Nájera (aún no redactado),a,smd,1,22,2018
Morena,Cuarta,Idalia Reyes Miguel (aún no redactado),a,pr,1,23,2018
Morena,Campeche,Irasema del Carmen Buenfil Díaz (aún no redactado),a,smd,1,24,2018
Morena,Oaxaca,Irma Juan Carlos,a,smd,1,25,2018
Morena,Quinta,Juana Carrillo Luna,a,pr,1,26,2018
Morena,Morelos,Juanita Guerra Mena,a,smd,1,27,2018
Morena,Quinta,Julieta García Zepeda,a,pr,1,28,2018
Morena,Puebla,Julieta Vences Valencia,a,smd,1,29,2018
Morena,México,Karla Yuritzi Almazán Burgos (aún no redactado),a,smd,1,30,2018
Morena,Primera,Katia Alejandra Castillo Lozano (aún no redactado),a,pr,1,31,2018
Morena,Tabasco,Laura Patricia Avalos Magaña (aún no redactado),a,smd,1,32,2018
Morena,Chiapas,Leticia Arlett Aguilar Molina (aún no redactado),a,smd,1,33,2018
Morena,Cuarta,Leticia Díaz Aguilar (aún no redactado),a,pr,1,34,2018
Morena,Guerrero,Leticia Lozano Zavala (aún no redactado),a,smd,1,35,2018
Morena,Hidalgo,Lidia García Anaya (aún no redactado),a,smd,1,36,2018
Morena,Segunda,Lidia Nallely Vargas Hernández (aún no redactado),a,pr,1,37,2018
Morena,Jalisco,Lorena Jiménez Andrade (aún no redactado),a,smd,1,38,2018
Morena,Ciudad de México,Lorena Villavicencio Ayala,a,smd,1,39,2018
Morena,Sonora,Lorenia Valles Sampedro,a,smd,1,40,2018
Morena,Cuarta,Lucía Flores Olivo (aún no redactado),a,pr,1,41,2018
Morena,Primera,Lucinda Sandoval Soberanes (aún no redactado),a,pr,1,42,2018
Morena,Segunda,Ma de Jesús García Guardado (aún no redactado),a,pr,1,43,2018
Morena,Guerrero,Ma. del Carmen Cabrera Lagunas (aún no redactado),a,smd,1,44,2018
Morena,Chiapas,Manuela Obrador Narváez,a,smd,1,45,2018
Morena,Cuarta,María Beatriz López Chávez (aún no redactado),a,pr,1,46,2018
Morena,Veracruz,Maria Bertha Espinoza Segura (aún no redactado),a,smd,1,47,2018
Morena,Quinta,María Chávez Pérez (aún no redactado),a,pr,1,48,2018
Morena,Segunda,María del Carmen Quiroz Rodríguez (aún no redactado),a,pr,1,49,2018
Morena,México,María Elizabeth Díaz García (aún no redactado),a,smd,1,50,2018
Morena,México,María Eugenia Hernández Pérez (aún no redactado),a,smd,1,51,2018
Morena,México,María Guadalupe Díaz Avilez (aún no redactado),a,smd,1,52,2018
Morena,Quinta,María Guadalupe Edith Castañeda Ortiz (aún no redactado),a,pr,1,53,2018
Morena,México,María Guadalupe Román Ávila (aún no redactado),a,smd,1,54,2018
Morena,Hidalgo,María Isabel Alfaro Morales (aún no redactado),a,smd,1,55,2018
Morena,Segunda,María Luisa Veloz Silva (aún no redactado),a,pr,1,56,2018
Morena,Ciudad de México,María Martha García Flores (aún no redactado),a,smd,1,57,2018
Morena,Primera,María Teresa López Pérez (aún no redactado),a,pr,1,58,2018
