countryname,year,party,partyname,pfem_new2_update,absseat,femseat,femaleleader,source
New Zealand,1975,64320,New Zealand Labour Party,,32,,,
New Zealand,1975,64620,New Zealand National Party,,55,,,
New Zealand,1975,64951,Social Credit Political League,,0,,,
New Zealand,1978,64320,New Zealand Labour Party,,40,,,
New Zealand,1978,64620,New Zealand National Party,,51,,,
New Zealand,1978,64951,Social Credit Political League,,1,,,
New Zealand,1981,64320,New Zealand Labour Party,13.95348837,43,6,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1981,64620,New Zealand National Party,4.255319149,47,2,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1981,64951,Social Credit Political League,0,2,0,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1984,64320,New Zealand Labour Party,15.78947368,57,9,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1984,64620,New Zealand National Party,5.555555556,36,2,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1984,64951,Social Credit Political League,0,2,0,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1987,64951,New Zealand Democratic Party,NA,0,,,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1987,64320,New Zealand Labour Party,17.54385965,57,10,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1987,64620,New Zealand National Party,7.5,40,3,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1990,64951,New Zealand Democratic Party,NA,0,,,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1990,64320,New Zealand Labour Party,25,28,7,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1990,64620,New Zealand National Party,11.76470588,68,8,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1993,64321,The Alliance,50,2,1,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1996,64420,ACT New Zealand,37.5,8,3,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1996,64621,New Zealand First Party,17.64705882,17,3,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1996,64320,New Zealand Labour Party,32.43243243,37,12,1,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1996,64620,New Zealand National Party,18.18181818,44,8,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
New Zealand,1996,64321,The Alliance,46.15384615,13,6,0,https://www.parliament.nz/en/visit-and-learn/mps-and-parliaments-1854-onwards/women-members-of-the-new-zealand-parliament-1933-onwards/
