party,state,name,letra,type,fem,n,year
CON,Tercera,Layda Sansores San Román,a,pr,1,1,2006
CON,Tercera,María del Carmen Salvatori Bronca,a,pr,1,2,2006
CON,Cuarta,Martha Tagle Martínez (aún no redactado),a,pr,1,3,2006
CON,Primera,Patricia Castillo Romero (aún no redactado),a,pr,1,4,2006
CON,Cuarta,Cuauhtémoc Velasco Oliva,c,pr,,5,2006
CON,México,Jorge Godoy Cárdenas (aún no redactado),e,smd,,6,2006
CON,Segunda,José Luis Aguilera Rico (aún no redactado),é,pr,,7,2006
CON,Oaxaca,José Luis Verela Lagunas (aún no redactado),é,smd,,8,2006
CON,Veracruz,José Manuel del Río Virgen,é,smd,,9,2006
CON,México,Juan Abad de Jesús (aún no redactado),n,smd,,10,2006
CON,Quinta,Juan Ignacio Samperio Montaño (aún no redactado),n,pr,,11,2006
CON,Quinta,Ramón Valdés Chávez (aún no redactado),n,pr,,12,2006
CON,Veracruz,Robinson Uscanga Cruz (aún no redactado),n,smd,,13,2006
CON,Tercera,Alberto Esteva Salinas (aún no redactado),o,pr,,14,2006
CON,Cuarta,Alejandro Chanona,o,pr,,15,2006
CON,Quinta,Elías Cárdenas Márquez,s,pr,,16,2006
,,,,,,,2006
Nueva alianza,Cuarta,Blanca Luna Becerril (aún no redactado),a,pr,1,1,2006
Nueva alianza,Tercera,Irma Piñeyro Arias,a,pr,1,2,2006
Nueva alianza,Quinta,Mónica Arriola Gordillo,a,pr,1,3,2006
Nueva alianza,Segunda,Sivia Luna Rodríguez (aún no redactado),a,pr,1,4,2006
Nueva alianza,Quinta,Ariel Castillo Nájera (aún no redactado),l,pr,,5,2006
Nueva alianza,Primera,Manuel Cárdenas Fonseca (aún no redactado),l,pr,,6,2006
Nueva alianza,Cuarta,Miguel Ángel Jiménez Godínez,l,pr,,7,2006
Nueva alianza,Segunda,Humberto Dávila Esquivel (aún no redactado),o,pr,,8,2006
Nueva alianza,Primera,Jacinto Gómez Pasillas,o,pr,,9,2006
,,,,,,,2006
PAN,Cuarta,Adriana Dávila Fernández,a,pr,1,1,2006
PAN,Cuarta,Adriana Rebaca Vieyra Olivares (aún no redactado),a,pr,1,2,2006
PAN,Guanajuato,Adriana Rodríguez Vizcarra (aún no redactado),a,smd,1,3,2006
