"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-08-03","","","","","","","","",""
"Ranking as of 1st January 2022","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","9","34.6"
"2","Cuba","03.2018","586","313","53.4","-","-","-","-"
"3","Nicaragua","11.2021","91","46","50.6","-","-","-","-"
"4","Mexico","06.2021","500","250","50","07.2018","128","63","49.2"
"“","United Arab Emirates","10.2019","40","20","50","-","-","-","-"
"6","New Zealand","10.2020","120","59","49.2","-","-","-","-"
"7","Iceland","09.2021","63","30","47.6","-","-","-","-"
"8","Grenada","03.2018","15","7","46.7","04.2018","13","2","15.4"
"“","South Africa","05.2019","396","185","46.7","05.2019","54","20","37"
"10","Andorra","04.2019","28","13","46.4","-","-","-","-"
"11","Bolivia (Plurinational State of)","10.2020","130","60","46.2","10.2020","36","20","55.6"
"12","Sweden","09.2018","349","161","46.1","-","-","-","-"
"13","Costa Rica","02.2018","57","26","45.6","-","-","-","-"
"14","Finland","04.2019","200","91","45.5","-","-","-","-"
"15","Norway","09.2021","169","76","45","-","-","-","-"
"16","Argentina","11.2021","257","115","44.8","11.2021","72","31","43.1"
"17","Namibia","11.2019","104","46","44.2","12.2020","42","6","14.3"
"18","Spain","11.2019","349","150","43","11.2019","265","104","39.3"
"19","Senegal","07.2017","164","70","42.7","-","-","-","-"
"20","Switzerland","10.2019","200","85","42.5","10.2019","46","13","28.3"
"21","Mozambique","10.2019","250","106","42.4","-","-","-","-"
"22","Belgium","05.2019","150","63","42","07.2019","60","29","48.3"
"23","North Macedonia","07.2020","120","50","41.7","-","-","-","-"
"24","Austria","09.2019","183","76","41.5","-","61","25","41"
"“","Ethiopia","06.2021","470","195","41.5","10.2021","144","44","30.6"
"26","Netherlands","03.2021","150","61","40.7","05.2019","75","24","32"
"27","Republic of Moldova","07.2021","101","41","40.6","-","-","-","-"
"28","Belarus","11.2019","110","44","40","11.2019","60","15","25"
"“","Peru","04.2021","130","52","40","-","-","-","-"
"“","Portugal","10.2019","230","92","40","-","-","-","-"
"“","Serbia","06.2020","250","100","40","-","-","-","-"
"“","Timor-Leste","05.2018","65","26","40","-","-","-","-"
"33","Denmark","06.2019","179","71","39.7","-","-","-","-"
"34","France","06.2017","577","228","39.5","09.2020","348","122","35.1"
"35","Cabo Verde","04.2021","72","28","38.9","-","-","-","-"
"36","Ecuador","02.2021","137","53","38.7","-","-","-","-"
"37","Burundi","05.2020","123","47","38.2","07.2020","39","16","41"
"38","United Republic of Tanzania","10.2020","388","143","36.9","-","-","-","-"
"39","Italy","03.2018","629","228","36.3","03.2018","320","112","35"
"40","Albania","04.2021","140","50","35.7","-","-","-","-"
"41","Chile","11.2021","155","55","35.5","11.2021","50","12","24"
"42","Guyana","03.2020","65","23","35.4","-","-","-","-"
"43","Germany","09.2021","736","257","34.9","-","71","24","33.8"
"44","Armenia","06.2021","107","37","34.6","-","-","-","-"
"45","Dominica","12.2019","32","11","34.4","-","-","-","-"
"“","United Kingdom","12.2019","649","223","34.4","-","776","222","28.6"
"47","Cameroon","02.2020","180","61","33.9","03.2018","100","26","26"
"48","Uganda","01.2021","556","188","33.8","-","-","-","-"
"49","Nepal","11.2017","271","91","33.6","01.2020","59","22","37.3"
