country,article,dataset
Australia,"Ferragina, E; Seeleib-Kaiser, M",
Austria,"Ferragina, E; Seeleib-Kaiser, M",
Belgium,"Ferragina, E; Seeleib-Kaiser, M",
Canada,"Ferragina, E; Seeleib-Kaiser, M",
Denmark,"Ferragina, E; Seeleib-Kaiser, M",
Finland,"Ferragina, E; Seeleib-Kaiser, M",
France,"Ferragina, E; Seeleib-Kaiser, M",
Germany,"Ferragina, E; Seeleib-Kaiser, M",
Ireland,"Ferragina, E; Seeleib-Kaiser, M",
Italy,"Ferragina, E; Seeleib-Kaiser, M",
Japan,"Ferragina, E; Seeleib-Kaiser, M",
Netherlands,"Ferragina, E; Seeleib-Kaiser, M",
New Zealand,"Ferragina, E; Seeleib-Kaiser, M",
Norway,"Ferragina, E; Seeleib-Kaiser, M",
Sweden,"Ferragina, E; Seeleib-Kaiser, M",
Switzerland,"Ferragina, E; Seeleib-Kaiser, M",
United Kingdom,"Ferragina, E; Seeleib-Kaiser, M",
United States,"Ferragina, E; Seeleib-Kaiser, M",
Andorra,"Alesina, A; Giuliano, P; Nunn, N",
Argentina,"Alesina, A; Giuliano, P; Nunn, N",
Armenia,"Alesina, A; Giuliano, P; Nunn, N",
Australia,"Alesina, A; Giuliano, P; Nunn, N",
Austria,"Alesina, A; Giuliano, P; Nunn, N",
Azerbaijan,"Alesina, A; Giuliano, P; Nunn, N",
Belgium,"Alesina, A; Giuliano, P; Nunn, N",
Burkina Faso,"Alesina, A; Giuliano, P; Nunn, N",
Bangladesh,"Alesina, A; Giuliano, P; Nunn, N",
Bulgaria,"Alesina, A; Giuliano, P; Nunn, N",
Bosnia,"Alesina, A; Giuliano, P; Nunn, N",
Belarus,"Alesina, A; Giuliano, P; Nunn, N",
Brazil,"Alesina, A; Giuliano, P; Nunn, N",
Canada,"Alesina, A; Giuliano, P; Nunn, N",
Switzerland,"Alesina, A; Giuliano, P; Nunn, N",
China,"Alesina, A; Giuliano, P; Nunn, N",
Colombia,"Alesina, A; Giuliano, P; Nunn, N",
Cyprus,"Alesina, A; Giuliano, P; Nunn, N",
Czech Republic,"Alesina, A; Giuliano, P; Nunn, N",
Germany,"Alesina, A; Giuliano, P; Nunn, N",
Denmark,"Alesina, A; Giuliano, P; Nunn, N",
Dominican Republic,"Alesina, A; Giuliano, P; Nunn, N",
Algeria,"Alesina, A; Giuliano, P; Nunn, N",
Egypt,"Alesina, A; Giuliano, P; Nunn, N",
Spain,"Alesina, A; Giuliano, P; Nunn, N",
Estonia,"Alesina, A; Giuliano, P; Nunn, N",
France,"Alesina, A; Giuliano, P; Nunn, N",
United Kingdom,"Alesina, A; Giuliano, P; Nunn, N",
Georgia,"Alesina, A; Giuliano, P; Nunn, N",
Ghana,"Alesina, A; Giuliano, P; Nunn, N",
Greece,"Alesina, A; Giuliano, P; Nunn, N",
Hong Kong SAR,"Alesina, A; Giuliano, P; Nunn, N",
Croatia,"Alesina, A; Giuliano, P; Nunn, N",
Hungary,"Alesina, A; Giuliano, P; Nunn, N",
Indonesia,"Alesina, A; Giuliano, P; Nunn, N",
India,"Alesina, A; Giuliano, P; Nunn, N",
Iran,"Alesina, A; Giuliano, P; Nunn, N",
Iraq,"Alesina, A; Giuliano, P; Nunn, N",
Iceland,"Alesina, A; Giuliano, P; Nunn, N",
Israel,"Alesina, A; Giuliano, P; Nunn, N",
