survey,item,variable,values,question_text,political,workplace
aes1993,govtact5,e6opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes1993,jobpref5,e6pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes1996,govtact5,e5opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes1996,jobpref5,e5pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes1998,govtact5,e6opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes1998,jobpref5,e6pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes2001,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes2001,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes2004,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes2004,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes2010,govtact5,e4opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes2010,jobpref5,e4pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
aes2013,govtact5,e6opp,c(5:1),The government should increase opportunities for women in business and industry,0,1
aes2013,jobpref5,e6pref,c(5:1),Women should be given preferential treatment when applying for jobs and promotions,0,1
allbus,job4a,fr06,c(1:4),A married woman should not work if there are not enough jobs to go around and her husband is also in a position to support the family.,0,1
allbus,tradroles4,fr04a,c(1:4),It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,0,1
allbus,tradroles4,fr04b,c(1:4),It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,0,1
allbus2021,tradroles4,fr04b,c(1:4),It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,0,1
amb_argentina2012,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_argentina2012,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_argentina2018,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_argentina2018,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_bolivia2012,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_bolivia2012,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_bolivia2014,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_bolivia2018,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_bolivia2018,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_brazil2016,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_brazil2018,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_brazil2018,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_canada2012,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_canada2018,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_canada2018,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_canada2021,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_canada2021,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_chile2012,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_chile2012,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_chile2014,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_chile2018,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_chile2018,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
amb_combo,jobs7,gen1,c(7:1),"Changing the subject again, some say that when there is not enough work, men should have a greater right to jobs than women.",0,1
amb_combo,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do",1,0
amb_combo,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0
