country,year,item,r,n,survey,cc_rank
United States,1972,earn2,1,546,usgss,647
United States,1972,earn2,2,1031,usgss,647
United States,1972,poliwork7,1,479.294694709021,anes_combo,647
United States,1972,poliwork7,2,112.887772406516,anes_combo,647
United States,1972,poliwork7,3,154.02484201228,anes_combo,647
United States,1972,poliwork7,4,497.471539418545,anes_combo,647
United States,1972,poliwork7,5,168.37498257243,anes_combo,647
United States,1972,poliwork7,6,225.775544813032,anes_combo,647
United States,1972,poliwork7,7,795.954463069671,anes_combo,647
United States,1972,president2,1,404,usgss,647
United States,1972,president2,2,1129,usgss,647
United States,1974,earn2,1,447,usgss,647
United States,1974,earn2,2,1002,usgss,647
United States,1974,emopoli2,1,328,usgss,647
United States,1974,emopoli2,2,370,usgss,647
United States,1974,homecountry2,1,509,usgss,647
United States,1974,homecountry2,2,922,usgss,647
United States,1974,poliwork7,1,323.356500622054,anes_combo,647
United States,1974,poliwork7,2,119.584504667919,anes_combo,647
United States,1974,poliwork7,3,171.24501068446,anes_combo,647
United States,1974,poliwork7,4,425.720836617793,anes_combo,647
United States,1974,poliwork7,5,197.075263692731,anes_combo,647
United States,1974,poliwork7,6,222.905516701002,anes_combo,647
United States,1974,poliwork7,7,773.950914210775,anes_combo,647
United States,1974,president2,1,283,usgss,647
United States,1974,president2,2,1150,usgss,647
United States,1975,earn2,1,423,usgss,647
United States,1975,earn2,2,1039,usgss,647
United States,1975,emopoli2,1,710,usgss,647
United States,1975,emopoli2,2,719,usgss,647
United States,1975,homecountry2,1,515,usgss,647
United States,1975,homecountry2,2,931,usgss,647
United States,1975,president2,1,282,usgss,647
United States,1975,president2,2,1158,usgss,647
United States,1976,poliwork7,1,240.125685373182,anes_combo,647
United States,1976,poliwork7,2,105.712702126441,anes_combo,647
United States,1976,poliwork7,3,170.766672665789,anes_combo,647
United States,1976,poliwork7,4,408.500667945613,anes_combo,647
United States,1976,poliwork7,5,188.943517375313,anes_combo,647
United States,1976,poliwork7,6,264.999262344109,anes_combo,647
United States,1976,poliwork7,7,694.068465092604,anes_combo,647
United States,1977,earn2,1,507,usgss,647
United States,1977,earn2,2,999,usgss,647
United States,1977,emopoli2,1,717,usgss,647
United States,1977,emopoli2,2,737,usgss,647
United States,1977,helpmeet4,1,205,usgss,647
United States,1977,helpmeet4,2,636,usgss,647
United States,1977,helpmeet4,3,534,usgss,647
United States,1977,helpmeet4,4,97,usgss,647
United States,1977,homecountry2,1,569,usgss,647
United States,1977,homecountry2,2,921,usgss,647
United States,1977,president2,1,307,usgss,647
United States,1977,president2,2,1177,usgss,647
United States,1977,tradroles4,1,275,usgss,647
United States,1977,tradroles4,2,714,usgss,647
United States,1977,tradroles4,3,422,usgss,647
United States,1977,tradroles4,4,92,usgss,647
United States,1978,earn2,1,402,usgss,647
United States,1978,earn2,2,1107,usgss,647
United States,1978,emopoli2,1,643,usgss,647
United States,1978,emopoli2,2,825,usgss,647
United States,1978,homecountry2,1,473,usgss,647
United States,1978,homecountry2,2,1009,usgss,647
United States,1978,poliwork7,1,214.295432364911,anes_combo,647
United States,1978,poliwork7,2,108.104392219799,anes_combo,647
United States,1978,poliwork7,3,146.371433713533,anes_combo,647
United States,1978,poliwork7,4,356.840161929071,anes_combo,647
United States,1978,poliwork7,5,171.24501068446,anes_combo,647
United States,1978,poliwork7,6,227.688896887718,anes_combo,647
United States,1978,poliwork7,7,837.091532675435,anes_combo,647
United States,1978,president2,1,275,usgss,647
United States,1978,president2,2,1217,usgss,647
United States,1980,earn2,1,390.240321277093,cmlic1980_val,647
United States,1980,earn2,2,1518.05807080172,cmlic1980_val,647
United States,1980,poliwork7,1,85.1441673235586,anes_combo,647
United States,1980,poliwork7,2,81.3174631741852,anes_combo,647
United States,1980,poliwork7,3,93.7542516596488,anes_combo,647
United States,1980,poliwork7,4,214.295432364911,anes_combo,647
United States,1980,poliwork7,5,131.06461711604,anes_combo,647
United States,1980,poliwork7,6,207.598700103508,anes_combo,647
United States,1980,poliwork7,7,438.157625103256,anes_combo,647
United States,1981,earn2,1,321.277437149368,cbsnyt198104,647
United States,1981,earn2,2,1062.62383087782,cbsnyt198104,647
United States,1982,earn2,1,464,usgss,647
United States,1982,earn2,2,1360,usgss,647
United States,1982,emopoli2,1,324,usgss,647
United States,1982,emopoli2,2,540,usgss,647
United States,1982,homecountry2,1,511,usgss,647
United States,1982,homecountry2,2,1298,usgss,647
United States,1982,poliwork7,1,98.5376318463656,anes_combo,647
United States,1982,poliwork7,2,59.313914315288,anes_combo,647
United States,1982,poliwork7,3,86.1008433609019,anes_combo,647
United States,1982,poliwork7,4,226.732220850375,anes_combo,647
United States,1982,poliwork7,5,118.627828630576,anes_combo,647
United States,1982,poliwork7,6,165.5049544604,anes_combo,647
United States,1982,poliwork7,7,490.774807157141,anes_combo,647
United States,1982,president2,1,249,usgss,647
United States,1982,president2,2,1547,usgss,647
United States,1983,earn2,1,365,usgss,647
United States,1983,earn2,2,1196,usgss,647
United States,1983,emopoli2,1,543,usgss,647
United States,1983,emopoli2,2,983,usgss,647
United States,1983,homecountry2,1,357,usgss,647
United States,1983,homecountry2,2,1182,usgss,647
United States,1983,president2,1,208,usgss,647
United States,1983,president2,2,1337,usgss,647
United States,1984,poliwork7,1,110.974420331829,anes_combo,647
United States,1984,poliwork7,2,62.1839424273181,anes_combo,647
United States,1984,poliwork7,3,153.068165974937,anes_combo,647
United States,1984,poliwork7,4,456.33446981278,anes_combo,647
United States,1984,poliwork7,5,199.945291804761,anes_combo,647
United States,1984,poliwork7,6,259.259206120049,anes_combo,647
United States,1984,poliwork7,7,695.503479148619,anes_combo,647
United States,1985,earn2,1,202,usgss,647
United States,1985,earn2,2,1286,usgss,647
United States,1985,emopoli2,1,566,usgss,647
United States,1985,emopoli2,2,900,usgss,647
United States,1985,govtact5,1,18.4152321544305,issp1985,647
United States,1985,govtact5,2,89.1031766159304,issp1985,647
United States,1985,govtact5,3,229.414775364801,issp1985,647
United States,1985,govtact5,4,202.848686952279,issp1985,647
United States,1985,govtact5,5,119.265762579141,issp1985,647
United States,1985,helpmeet4,1,97,usgss,647
United States,1985,helpmeet4,2,455,usgss,647
United States,1985,helpmeet4,3,679,usgss,647
United States,1985,helpmeet4,4,241,usgss,647
United States,1985,homecountry2,1,394,usgss,647
United States,1985,homecountry2,2,1101,usgss,647
United States,1985,president2,1,262,usgss,647
United States,1985,president2,2,1219,usgss,647
United States,1985,tradroles4,1,150,usgss,647
United States,1985,tradroles4,2,577,usgss,647
United States,1985,tradroles4,3,574,usgss,647
United States,1985,tradroles4,4,201,usgss,647
United States,1986,earn2,1,319,usgss,647
United States,1986,earn2,2,1123,usgss,647
United States,1986,emopoli2,1,529,usgss,647
United States,1986,emopoli2,2,886,usgss,647
United States,1986,helpmeet4,1,88,usgss,647
United States,1986,helpmeet4,2,428,usgss,647
United States,1986,helpmeet4,3,681,usgss,647
United States,1986,helpmeet4,4,239,usgss,647
United States,1986,homecountry2,1,344,usgss,647
United States,1986,homecountry2,2,1080,usgss,647
United States,1986,president2,1,195,usgss,647
United States,1986,president2,2,1232,usgss,647
United States,1986,tradroles4,1,132,usgss,647
United States,1986,tradroles4,2,557,usgss,647
United States,1986,tradroles4,3,576,usgss,647
United States,1986,tradroles4,4,179,usgss,647
United States,1987,return4,1,376.336328582547,uspew_valcombo,647
United States,1987,return4,2,881.993874295747,uspew_valcombo,647
United States,1987,return4,3,1568.78082890227,uspew_valcombo,647
United States,1987,return4,4,1258.95751004351,uspew_valcombo,647
United States,1988,earn2,1,188,usgss,647
United States,1988,earn2,2,773,usgss,647
United States,1988,emopoli2,1,316,usgss,647
United States,1988,emopoli2,2,634,usgss,647
United States,1988,helpmeet4,1,47,usgss,647
United States,1988,helpmeet4,2,253,usgss,647
United States,1988,helpmeet4,3,466,usgss,647
United States,1988,helpmeet4,4,200,usgss,647
United States,1988,homecountry2,1,201,usgss,647
United States,1988,homecountry2,2,749,usgss,647
United States,1988,income5,1,44,issp1988,647
United States,1988,income5,2,223,issp1988,647
United States,1988,income5,3,414,issp1988,647
United States,1988,income5,4,463,issp1988,647
United States,1988,income5,5,210,issp1988,647
United States,1988,poliwork7,1,108.104392219799,anes_combo,647
United States,1988,poliwork7,2,72.707378838095,anes_combo,647
United States,1988,poliwork7,3,89.9275475102754,anes_combo,647
United States,1988,poliwork7,4,300.396275725813,anes_combo,647
United States,1988,poliwork7,5,177.941742945864,anes_combo,647
United States,1988,poliwork7,6,283.176107053633,anes_combo,647
United States,1988,poliwork7,7,793.084434957641,anes_combo,647
United States,1988,president2,1,116,usgss,647
