COU,IND,SEX,AGE,TIME,UNIT,POWERCODE,obsValue
AUS,EMP11,WOMEN,TOTAL,2017,PC,0,28.7
AUT,EMP11,WOMEN,TOTAL,2017,PC,0,19.2
BEL,EMP11,WOMEN,TOTAL,2017,PC,0,30.7
CAN,EMP11,WOMEN,TOTAL,2017,PC,0,25.8
CZE,EMP11,WOMEN,TOTAL,2017,PC,0,14.5
DNK,EMP11,WOMEN,TOTAL,2017,PC,0,30.3
FIN,EMP11,WOMEN,TOTAL,2017,PC,0,32.8
FRA,EMP11,WOMEN,TOTAL,2017,PC,0,43.4
DEU,EMP11,WOMEN,TOTAL,2017,PC,0,31.9
GRC,EMP11,WOMEN,TOTAL,2017,PC,0,11.3
HUN,EMP11,WOMEN,TOTAL,2017,PC,0,14.5
ISL,EMP11,WOMEN,TOTAL,2017,PC,0,43.5
IRL,EMP11,WOMEN,TOTAL,2017,PC,0,17.6
ITA,EMP11,WOMEN,TOTAL,2017,PC,0,34
JPN,EMP11,WOMEN,TOTAL,2017,PC,0,5.3
KOR,EMP11,WOMEN,TOTAL,2017,PC,0,2.1
LUX,EMP11,WOMEN,TOTAL,2017,PC,0,12
MEX,EMP11,WOMEN,TOTAL,2017,PC,0,7.5
NLD,EMP11,WOMEN,TOTAL,2017,PC,0,29.5
NZL,EMP11,WOMEN,TOTAL,2017,PC,0,30
NOR,EMP11,WOMEN,TOTAL,2017,PC,0,42.1
POL,EMP11,WOMEN,TOTAL,2017,PC,0,20.1
PRT,EMP11,WOMEN,TOTAL,2017,PC,0,16.2
SVK,EMP11,WOMEN,TOTAL,2017,PC,0,15.1
ESP,EMP11,WOMEN,TOTAL,2017,PC,0,22
SWE,EMP11,WOMEN,TOTAL,2017,PC,0,36.3
CHE,EMP11,WOMEN,TOTAL,2017,PC,0,21.3
TUR,EMP11,WOMEN,TOTAL,2017,PC,0,13.4
GBR,EMP11,WOMEN,TOTAL,2017,PC,0,27.2
USA,EMP11,WOMEN,TOTAL,2017,PC,0,21.7
BRA,EMP11,WOMEN,TOTAL,2017,PC,0,8.4
CHL,EMP11,WOMEN,TOTAL,2017,PC,0,8.2
CHN,EMP11,WOMEN,TOTAL,2017,PC,0,9.7
COL,EMP11,WOMEN,TOTAL,2017,PC,0,15.1
EST,EMP11,WOMEN,TOTAL,2017,PC,0,7.4
IND,EMP11,WOMEN,TOTAL,2017,PC,0,13.8
IDN,EMP11,WOMEN,TOTAL,2017,PC,0,3.3
ISR,EMP11,WOMEN,TOTAL,2017,PC,0,23.1
LVA,EMP11,WOMEN,TOTAL,2017,PC,0,28.8
LTU,EMP11,WOMEN,TOTAL,2017,PC,0,14.3
RUS,EMP11,WOMEN,TOTAL,2017,PC,0,7
SVN,EMP11,WOMEN,TOTAL,2017,PC,0,22.6
ZAF,EMP11,WOMEN,TOTAL,2017,PC,0,21.4
OAVG,EMP11,WOMEN,TOTAL,2017,PC,0,22.1
