country,year,ecec_enrollment
Australia,2005,NA
Australia,2006,NA
Australia,2007,NA
Australia,2008,NA
Australia,2009,NA
Australia,2010,37.97443967075522
Australia,2011,NA
Australia,2012,NA
Australia,2013,NA
Australia,2014,NA
Australia,2015,38.629
Australia,2016,38.242
Australia,2017,39.176
Australia,2018,39.826
Australia,2019,40.95
Australia,2020,44.946
Austria,2005,NA
Austria,2006,NA
Austria,2007,NA
Austria,2008,NA
Austria,2009,NA
Austria,2010,12.48017740417467
Austria,2011,NA
Austria,2012,NA
Austria,2013,NA
Austria,2014,NA
Austria,2015,NA
Austria,2016,NA
Austria,2017,18.311
Austria,2018,18.981
Austria,2019,19.567
Austria,2020,20.173
Belgium,2005,44.50572431087494
Belgium,2006,42.35066473484039
Belgium,2007,45.238623023033135
Belgium,2008,46.79328799247742
Belgium,2009,36.857044696807854
Belgium,2010,39.1661524772644
Belgium,2011,41.277724504470825
Belgium,2012,51.35332942008972
Belgium,2013,47.79061675071716
Belgium,2014,54.66309189796448
Belgium,2015,54.40613627433777
Belgium,2016,47.98821210861206
Belgium,2017,56.55319094657898
Belgium,2018,56.82634711265564
Belgium,2019,58.10549259185791
Belgium,2020,56.897199153900154
Canada,2005,NA
Canada,2006,NA
Canada,2007,NA
Canada,2008,NA
Canada,2009,NA
Canada,2010,NA
Canada,2011,NA
Canada,2012,NA
Canada,2013,NA
Canada,2014,NA
Canada,2015,NA
Canada,2016,NA
Canada,2017,NA
Canada,2018,NA
Canada,2019,NA
Canada,2020,NA
Chile,2005,NA
Chile,2006,NA
Chile,2007,NA
Chile,2008,NA
Chile,2009,NA
Chile,2010,NA
Chile,2011,NA
Chile,2012,NA
Chile,2013,NA
Chile,2014,NA
Chile,2015,18.833
Chile,2016,19.895
Chile,2017,21.311
Chile,2018,22.075
Chile,2019,22.862
Chile,2020,19.522
Colombia,2005,NA
Colombia,2006,NA
Colombia,2007,NA
Colombia,2008,NA
Colombia,2009,NA
Colombia,2010,NA
Colombia,2011,NA
Colombia,2012,NA
Colombia,2013,NA
Colombia,2014,NA
Colombia,2015,31.891
Colombia,2016,56.999
Colombia,2017,44.006
Colombia,2018,35.269
Colombia,2019,25.931
Colombia,2020,29.799
Costa Rica,2005,NA
Costa Rica,2006,NA
Costa Rica,2007,NA
Costa Rica,2008,NA
Costa Rica,2009,NA
Costa Rica,2010,NA
Costa Rica,2011,NA
Costa Rica,2012,NA
Costa Rica,2013,NA
Costa Rica,2014,NA
Costa Rica,2015,NA
Costa Rica,2016,7.037000000000001
Costa Rica,2017,6.994999999999999
Costa Rica,2018,7.211999999999998
Costa Rica,2019,NA
Costa Rica,2020,NA
Czechia,2005,2.494207583367825
Czechia,2006,2.592942863702774
Czechia,2007,2.6256902143359184
Czechia,2008,2.153242565691471
Czechia,2009,4.681309685111046
Czechia,2010,3.98394912481308
Czechia,2011,6.152191385626793
Czechia,2012,4.9612849950790405
Czechia,2013,4.288289695978165
Czechia,2014,5.596400052309036
Czechia,2015,4.878252744674683
Czechia,2016,5.965346843004227
Czechia,2017,8.248914033174515
Czechia,2018,10.966092348098757
Czechia,2019,7.405804097652435
Czechia,2020,5.913646519184113
Denmark,2005,NA
Denmark,2006,NA
Denmark,2007,NA
Denmark,2008,NA
Denmark,2009,NA
Denmark,2010,NA
Denmark,2011,NA
Denmark,2012,NA
Denmark,2013,NA
Denmark,2014,NA
Denmark,2015,NA
Denmark,2016,NA
Denmark,2017,56.053
Denmark,2018,55.966
Denmark,2019,55.822
Denmark,2020,55.266
Estonia,2005,NA
Estonia,2006,NA
Estonia,2007,NA
Estonia,2008,NA
Estonia,2009,NA
Estonia,2010,22.796038769490096
Estonia,2011,NA
Estonia,2012,NA
Estonia,2013,NA
Estonia,2014,NA
Estonia,2015,NA
Estonia,2016,NA
Estonia,2017,25.136
Estonia,2018,26.834
Estonia,2019,25.986
Estonia,2020,25.843
Finland,2005,24.64535986795345
Finland,2006,NA
Finland,2007,NA
Finland,2008,NA
Finland,2009,NA
Finland,2010,26.60773357796125
Finland,2011,NA
Finland,2012,NA
Finland,2013,NA
Finland,2014,NA
Finland,2015,NA
Finland,2016,NA
Finland,2017,31.16
Finland,2018,33.374
Finland,2019,35.404
Finland,2020,36.991
France,2005,43.901655077934265
France,2006,42.37790405750275
France,2007,40.92139005661011
France,2008,46.24848067760468
France,2009,49.44389462471008
France,2010,47.93471395969391
France,2011,50.95711350440979
France,2012,50.81273317337036
France,2013,50.591307878494256
France,2014,51.92590951919556
France,2015,52.272778749465935
France,2016,56.65900707244873
France,2017,56.3201665878295
France,2018,57.4670016765594
France,2019,60.3635311126708
France,2020,58.051759004592896
Germany,2005,16.803082886585603
Germany,2006,NA
Germany,2007,NA
Germany,2008,NA
Germany,2009,NA
Germany,2010,26.80012357665302
Germany,2011,NA
Germany,2012,NA
Germany,2013,NA
Germany,2014,NA
Germany,2015,NA
Germany,2016,NA
Germany,2017,37.187
Germany,2018,37.656
Germany,2019,38.515
Germany,2020,39.153
Greece,2005,13.968251645565031
Greece,2006,18.17774623632431
Greece,2007,14.15892094373703
Greece,2008,15.6315416097641
Greece,2009,15.699058771133425
Greece,2010,11.328922212123873
Greece,2011,21.28405272960663
Greece,2012,22.923944890499115
Greece,2013,16.91605895757675
Greece,2014,13.765902817249298
Greece,2015,14.091832935810087
Greece,2016,11.549293249845505
Greece,2017,23.439398407936096
Greece,2018,44.049036502838135
Greece,2019,35.331496596336365
Greece,2020,22.98276871442795
Hungary,2005,6.614126027010824
Hungary,2006,NA
Hungary,2007,NA
Hungary,2008,NA
Hungary,2009,NA
Hungary,2010,9.555631868131869
Hungary,2011,NA
Hungary,2012,8.859774470329283
Hungary,2013,14.112764596939089
Hungary,2014,14.464999735355375
Hungary,2015,NA
Hungary,2016,19.11346465349197
Hungary,2017,15.10130614042282
Hungary,2018,16.492433845996857
Hungary,2019,19.91589069366455
Hungary,2020,11.566192656755453
Iceland,2005,52.63936468389909
Iceland,2006,NA
Iceland,2007,NA
Iceland,2008,NA
Iceland,2009,NA
Iceland,2010,54.84644913627639
Iceland,2011,NA
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Iceland,2016,NA
Iceland,2017,51.31824016571045
Iceland,2018,61.09955906867981
Iceland,2019,NA
Iceland,2020,NA
Ireland,2005,26.112210750579838
Ireland,2006,25.213468074798584
Ireland,2007,28.792381286621094
Ireland,2008,31.83409869670868
Ireland,2009,23.66458624601364
Ireland,2010,29.74383533000946
Ireland,2011,22.87967950105667
Ireland,2012,30.441564321517944
Ireland,2013,32.87585973739624
Ireland,2014,35.036835074424744
Ireland,2015,35.546714067459106
Ireland,2016,39.39485847949982
Ireland,2017,32.05253183841705
Ireland,2018,41.27776920795441
Ireland,2019,42.868319153785706
Ireland,2020,35.78563928604126
Israel,2005,NA
Israel,2006,NA
Israel,2007,NA
Israel,2008,NA
Israel,2009,NA
Israel,2010,NA
Israel,2011,NA
Israel,2012,NA
Israel,2013,NA
Israel,2014,NA
Israel,2015,NA
Israel,2016,56.3
Israel,2017,56.039
Israel,2018,57.72
Israel,2019,57.499
Israel,2020,56.87
Italy,2005,27.347072958946228
Italy,2006,28.57830822467804
Italy,2007,25.7641077041626
