country,year,item,r,n,survey,cc_rank,mean_r
Mexico,1990,party_act_female2,1,684,wvs_combo,322,1.5
Mexico,1990,party_act_female2,2,11,wvs_combo,322,1.5
Mexico,1990,party_female2,1,677,wvs_combo,322,1.5
Mexico,1990,party_female2,2,18,wvs_combo,322,1.5
Mexico,1990,party_worg2,1,677,wvs_combo,322,1.5
Mexico,1990,party_worg2,2,18,wvs_combo,322,1.5
Mexico,1990,prof_act_female2,1,685,wvs_combo,322,1.5
Mexico,1990,prof_act_female2,2,10,wvs_combo,322,1.5
Mexico,1990,prof_female2,1,676,wvs_combo,322,1.5
Mexico,1990,prof_female2,2,19,wvs_combo,322,1.5
Mexico,1990,prof_worg2,1,676,wvs_combo,322,1.5
Mexico,1990,prof_worg2,2,19,wvs_combo,322,1.5
Mexico,1990,union_act_female2,1,687,wvs_combo,322,1.5
Mexico,1990,union_act_female2,2,8,wvs_combo,322,1.5
Mexico,1990,union_female2,1,677,wvs_combo,322,1.5
Mexico,1990,union_female2,2,18,wvs_combo,322,1.5
Mexico,1990,union_worg2,1,677,wvs_combo,322,1.5
Mexico,1990,union_worg2,2,18,wvs_combo,322,1.5
Mexico,1990,womens_org2,1,674,wvs_combo,322,1.5
Mexico,1990,womens_org2,2,21,wvs_combo,322,1.5
Mexico,1990,womens_org_act_female2,1,678,wvs_combo,322,1.5
Mexico,1990,womens_org_act_female2,2,17,wvs_combo,322,1.5
Mexico,1995,union_female2,1,414,lb1995,322,1.5
Mexico,1995,union_female2,2,29,lb1995,322,1.5
Mexico,1996,party_act_female2,1,720,lb1996,322,1.5
Mexico,1996,party_act_female2,2,15,lb1996,322,1.5
Mexico,1996,union_act_female2,1,714,lb1996,322,1.5
Mexico,1996,union_act_female2,2,21,lb1996,322,1.5
Mexico,1998,party_act_female2,1,570,lb1998,322,1.5
Mexico,1998,party_act_female2,2,23,lb1998,322,1.5
Mexico,1998,prof_act_female2,1,563,lb1998,322,1.5
Mexico,1998,prof_act_female2,2,30,lb1998,322,1.5
Mexico,1998,union_act_female2,1,571,lb1998,322,1.5
Mexico,1998,union_act_female2,2,22,lb1998,322,1.5
Mexico,2000,party_act_female2,1,1357.9847514104167,"lb2000, wvs_combo",322,1.5
Mexico,2000,party_act_female2,2,38.00762936584863,"lb2000, wvs_combo",322,1.5
Mexico,2000,party_female2,1,789.5877408421893,wvs_combo,322,1.5
Mexico,2000,party_female2,2,16.404639934076243,wvs_combo,322,1.5
Mexico,2000,party_worg2,1,789.5877408421893,wvs_combo,322,1.5
Mexico,2000,party_worg2,2,16.404639934076243,wvs_combo,322,1.5
Mexico,2000,prof_act_female2,1,1368.9166529632075,"lb2000, wvs_combo",322,1.5
Mexico,2000,prof_act_female2,2,27.075727813057924,"lb2000, wvs_combo",322,1.5
Mexico,2000,prof_female2,1,792.7472824872266,wvs_combo,322,1.5
Mexico,2000,prof_female2,2,13.245098289038943,wvs_combo,322,1.5
Mexico,2000,prof_worg2,1,792.7472824872266,wvs_combo,322,1.5
Mexico,2000,prof_worg2,2,13.245098289038943,wvs_combo,322,1.5
Mexico,2000,union_act_female2,1,1377.7795894628748,"lb2000, wvs_combo",322,1.5
Mexico,2000,union_act_female2,2,18.212791313390618,"lb2000, wvs_combo",322,1.5
Mexico,2000,union_female2,1,780.4945582297617,wvs_combo,322,1.5
Mexico,2000,union_female2,2,25.497822546503894,wvs_combo,322,1.5
Mexico,2000,union_worg2,1,780.4945582297617,wvs_combo,322,1.5
Mexico,2000,union_worg2,2,25.497822546503894,wvs_combo,322,1.5
Mexico,2000,womens_org2,1,768.886999670343,wvs_combo,322,1.5
Mexico,2000,womens_org2,2,37.10538110592239,wvs_combo,322,1.5
Mexico,2000,womens_org_act_female2,1,769.8483933826783,wvs_combo,322,1.5
Mexico,2000,womens_org_act_female2,2,36.14398739358716,wvs_combo,322,1.5
Mexico,2001,union_female2,1,661,issp2000,322,1.5
Mexico,2001,union_female2,2,63,issp2000,322,1.5
Mexico,2003,union_female2,1,1384.5104908807941,"issp2002, lb2003",322,1.5
Mexico,2003,union_female2,2,99.02369659429402,"issp2002, lb2003",322,1.5
Mexico,2004,party_act_female2,1,1247.5391055485952,"amb_combo, lb2004",322,1.5
Mexico,2004,party_act_female2,2,146.71414274394292,"amb_combo, lb2004",322,1.5
Mexico,2004,party_act_female4,1,674,amb_combo,322,2.5
Mexico,2004,party_act_female4,2,68,amb_combo,322,2.5
Mexico,2004,party_act_female4,3,14,amb_combo,322,2.5
Mexico,2004,party_act_female4,4,11,amb_combo,322,2.5
Mexico,2004,party_worg_act_female4,1,674,amb_combo,322,2.5
Mexico,2004,party_worg_act_female4,2,68,amb_combo,322,2.5
Mexico,2004,party_worg_act_female4,3,14,amb_combo,322,2.5
Mexico,2004,party_worg_act_female4,4,11,amb_combo,322,2.5
Mexico,2004,prof_act_female2,1,708,amb_combo,322,1.5
Mexico,2004,prof_act_female2,2,59,amb_combo,322,1.5
Mexico,2004,prof_act_female4,1,708,amb_combo,322,2.5
Mexico,2004,prof_act_female4,2,28,amb_combo,322,2.5
Mexico,2004,prof_act_female4,3,18,amb_combo,322,2.5
Mexico,2004,prof_act_female4,4,13,amb_combo,322,2.5
Mexico,2004,prof_worg_act_female4,1,708,amb_combo,322,2.5
Mexico,2004,prof_worg_act_female4,2,28,amb_combo,322,2.5
Mexico,2004,prof_worg_act_female4,3,18,amb_combo,322,2.5
Mexico,2004,prof_worg_act_female4,4,13,amb_combo,322,2.5
Mexico,2004,union_act_female2,1,708,amb_combo,322,1.5
Mexico,2004,union_act_female2,2,60,amb_combo,322,1.5
Mexico,2004,union_act_female4,1,708,amb_combo,322,2.5
Mexico,2004,union_act_female4,2,33,amb_combo,322,2.5
Mexico,2004,union_act_female4,3,16,amb_combo,322,2.5
Mexico,2004,union_act_female4,4,11,amb_combo,322,2.5
Mexico,2004,union_worg_act_female4,1,708,amb_combo,322,2.5
Mexico,2004,union_worg_act_female4,2,33,amb_combo,322,2.5
Mexico,2004,union_worg_act_female4,3,16,amb_combo,322,2.5
Mexico,2004,union_worg_act_female4,4,11,amb_combo,322,2.5
Mexico,2005,act_female4,1,333.45573823171713,lb2005,322,2.5
Mexico,2005,act_female4,2,94.74412597802056,lb2005,322,2.5
Mexico,2005,act_female4,3,160.54269416060436,lb2005,322,2.5
Mexico,2005,act_female4,4,35.56794368365549,lb2005,322,2.5
Mexico,2005,party_act_female2,1,1124.4023935477044,"lb2005, lb2005",322,1.5
